,Fire_department,region,start_date,start_time,end_date,end_time,borough,burned_forests1,burned_forests2,burned_forests3,burned_fields,burned_swamp,burned_Agricultural,burned_Agricultural2,burned_garbage_disposal_sites,firefighters,firefighters2,volunt_firefighters,military_forces,other_forces,Fire_trucks,other_fire_vehicles,fire_tankers,fire_equipent,helicopters,fire_plane_type1,fire_plane_type2,fire_plane_type3,fire_plane_type4,extinguish_time,extinguish_date,total_burned_acres
1,Π.Κ. ΚΑΛΑΜΟΥ,ΑΤΤΙΚΗΣ,2018-05-29 00:00:00,2019-07-17 12:06:00,2018-05-29 00:00:00,2019-07-17 18:30:00,Δ. ΩΡΩΠΟΥ,0,0,0,0,0,3,0,0,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0 days 06:24:00.000000000,0,3.0
2,Π.Κ. ΚΑΛΑΜΟΥ,ΑΤΤΙΚΗΣ,2018-07-23 00:00:00,2019-07-17 19:00:00,2018-07-31 00:00:00,2019-07-17 10:18:00,Δ. ΩΡΩΠΟΥ,0,150,0,150,0,350,0,0,21,6,30,0,12,7,15,2,0,0,1,0,0,0,-1 days +15:18:00.000000000,8,650.0
3,Π.Κ. ΚΑΛΑΜΟΥ,ΑΤΤΙΚΗΣ,2018-08-26 00:00:00,2019-07-17 15:30:00,2018-08-27 00:00:00,2019-07-17 07:55:00,Δ. ΩΡΩΠΟΥ,0,0,0,0,0,0,0,0,15,1,26,0,0,4,0,0,0,0,1,0,0,0,-1 days +16:25:00.000000000,1,0.0
4,Π.Κ. ΚΑΛΑΜΟΥ,ΑΤΤΙΚΗΣ,2018-11-07 00:00:00,2019-07-17 20:10:00,2018-11-08 00:00:00,2019-07-17 21:10:00,Δ. ΩΡΩΠΟΥ,0,0,0,0,0,0,1,0,6,0,12,0,5,3,6,1,2,0,0,0,0,0,0 days 01:00:00.000000000,1,1.0
5, 1ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-05-23 00:00:00,2019-07-17 17:36:00,2018-05-23 00:00:00,2019-07-17 18:10:00,Δ. ΚΑΙΣΑΡΙΑΝΗΣ,0,10,0,0,0,0,0,0,13,0,10,0,0,5,4,0,0,0,0,0,0,0,0 days 00:34:00.000000000,0,10.0
6, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-03-13 00:00:00,2019-07-17 10:51:00,2018-03-13 00:00:00,2019-07-17 13:40:00,Δ. ΩΡΩΠΟΥ,0,0,0,0,0,0,0,0,13,0,21,0,14,4,0,1,0,0,0,0,0,0,0 days 02:49:00.000000000,0,0.0
7, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-04-11 00:00:00,2019-07-17 16:21:00,2018-04-11 00:00:00,2019-07-17 17:15:00,Δ. ΔΙΟΝΥΣΟΥ,0,0,0,0,0,0,0,0,10,0,12,0,0,3,0,0,0,0,0,0,0,0,0 days 00:54:00.000000000,0,0.0
8, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-07-25 00:00:00,2019-07-17 15:50:00,2018-07-25 00:00:00,2019-07-17 20:15:00,Δ. ΑΧΑΡΝΩΝ,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0 days 04:25:00.000000000,0,0.0
9, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-09-01 00:00:00,2019-07-17 22:29:00,2018-09-02 00:00:00,2019-07-17 00:00:00,Δ. ΑΧΑΡΝΩΝ,0,0,0,0,0,0,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,-1 days +01:31:00.000000000,1,0.0
10, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-09-08 00:00:00,2019-07-17 14:53:00,2018-09-08 00:00:00,2019-07-17 14:53:00,Δ. ΔΙΟΝΥΣΟΥ,0,0,0,0,0,0,0,0,2,0,10,0,0,1,0,0,0,0,0,0,0,0,0 days 00:00:00.000000000,0,0.0
11, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-09-08 00:00:00,2019-07-17 15:05:00,2018-09-08 00:00:00,2019-07-17 19:00:00,Δ. ΑΧΑΡΝΩΝ,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0 days 03:55:00.000000000,0,0.0
12, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-09-09 00:00:00,2019-07-17 13:40:00,2018-09-09 00:00:00,2019-07-17 17:10:00,Δ. ΑΧΑΡΝΩΝ,1,0,0,0,0,0,0,0,8,3,8,0,0,3,0,0,0,0,1,0,0,0,0 days 03:30:00.000000000,0,1.0
13, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-09-09 00:00:00,2019-07-17 18:40:00,2018-09-09 00:00:00,2019-07-17 22:00:00,Δ. ΑΧΑΡΝΩΝ,0,0,0,0,0,0,0,0,6,0,4,0,0,3,0,0,0,0,0,0,0,0,0 days 03:20:00.000000000,0,0.0
14, 6ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-09-26 00:00:00,2019-07-17 19:05:00,2018-09-26 00:00:00,2019-07-17 21:52:00,Δ. ΔΙΟΝΥΣΟΥ,0,0,0,0,0,0,0,0,4,0,30,0,0,2,0,0,0,0,0,0,0,0,0 days 02:47:00.000000000,0,0.0
15, 8ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-04-24 00:00:00,2019-07-17 00:04:00,2018-04-24 00:00:00,2019-07-17 01:40:00,Δ. ΓΛΥΦΑΔΑΣ,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0 days 01:36:00.000000000,0,0.0
16, 8ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-06-02 00:00:00,2019-07-17 20:58:00,2018-06-02 00:00:00,2019-07-17 22:50:00,Δ. ΓΛΥΦΑΔΑΣ,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0 days 01:52:00.000000000,0,0.0
17, 8ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-09-15 00:00:00,2019-07-17 12:20:00,2018-09-15 00:00:00,2019-07-17 15:30:00,Δ. ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,0,1,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0 days 03:10:00.000000000,0,1.0
19, 9ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-06-01 00:00:00,2019-07-17 14:10:00,2018-06-04 00:00:00,2019-07-17 18:00:00,Δ. ΑΜΑΡΟΥΣΙΟΥ,0,5,0,5,0,0,0,0,11,10,18,0,8,5,0,3,0,0,0,1,2,0,0 days 03:50:00.000000000,3,10.0
20, 9ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-07-21 00:00:00,2019-07-17 14:34:00,2018-07-23 00:00:00,2019-07-17 13:30:00,Δ. ΔΙΟΝΥΣΟΥ,500,0,0,0,0,0,0,0,4,0,16,0,0,2,0,0,0,0,0,0,0,0,-1 days +22:56:00.000000000,2,500.0
21, 9ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-08-12 00:00:00,2019-07-17 23:34:00,2018-08-13 00:00:00,2019-07-17 11:00:00,Δ. ΔΙΟΝΥΣΟΥ,0,0,0,0,0,0,0,0,6,0,18,0,0,9,0,0,0,0,0,0,0,0,-1 days +11:26:00.000000000,1,0.0
22, 9ος Π.Σ. ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,2018-08-15 00:00:00,2019-07-17 16:34:00,2018-08-16 00:00:00,2019-07-17 20:00:00,Δ. ΔΙΟΝΥΣΟΥ,0,7,0,0,0,0,0,0,15,0,43,0,4,25,0,0,0,2,0,0,0,0,0 days 03:26:00.000000000,1,7.0
