,ESYE_ID,PREFECTURE
0,42160000,ΛΑΡΙΣΑΣ
1,42220000,ΛΑΡΙΣΑΣ
2,98690000,ΑΤΤΙΚΗΣ
3,71060000,ΕΒΡΟΥ
4,71070000,ΕΒΡΟΥ
5,42630000,ΛΑΡΙΣΑΣ
6,61010000,ΠΙΕΡΙΑΣ
7,81100000,ΔΩΔΕΚΑΝΗΣΩΝ
8,81150000,ΔΩΔΕΚΑΝΗΣΩΝ
9,81160000,ΔΩΔΕΚΑΝΗΣΩΝ
10,81210000,ΔΩΔΕΚΑΝΗΣΩΝ
11,81610000,ΔΩΔΕΚΑΝΗΣΩΝ
12,84010000,ΣΑΜΟΥ
13,61020000,ΠΙΕΡΙΑΣ
14,98720000,ΑΤΤΙΚΗΣ
15,98800000,ΑΤΤΙΚΗΣ
16,96020000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
17,98730000,ΑΤΤΙΚΗΣ
18,98740000,ΑΤΤΙΚΗΣ
19,98810000,ΑΤΤΙΚΗΣ
20,98780000,ΑΤΤΙΚΗΣ
21,98790000,ΑΤΤΙΚΗΣ
22,99420000,ΑΤΤΙΚΗΣ
23,98820000,ΑΤΤΙΚΗΣ
24,98840000,ΑΤΤΙΚΗΣ
25,99030000,ΑΤΤΙΚΗΣ
26,99080000,ΑΤΤΙΚΗΣ
27,3610000,ΒΟΙΩΤΙΑΣ
28,99280000,ΑΤΤΙΚΗΣ
29,3620000,ΒΟΙΩΤΙΑΣ
30,99380000,ΑΤΤΙΚΗΣ
31,6030000,ΦΘΙΩΤΙΔΑΣ
32,6050000,ΦΘΙΩΤΙΔΑΣ
33,99430000,ΑΤΤΙΚΗΣ
34,6070000,ΦΘΙΩΤΙΔΑΣ
35,6090000,ΦΘΙΩΤΙΔΑΣ
36,99440000,ΑΤΤΙΚΗΣ
37,43080000,ΜΑΓΝΗΣΙΑΣ
38,99100000,ΑΤΤΙΚΗΣ
39,99230000,ΑΤΤΙΚΗΣ
40,99240000,ΑΤΤΙΚΗΣ
41,99250000,ΑΤΤΙΚΗΣ
42,6220000,ΦΘΙΩΤΙΔΑΣ
43,81030000,ΔΩΔΕΚΑΝΗΣΩΝ
44,81120000,ΔΩΔΕΚΑΝΗΣΩΝ
45,81130000,ΔΩΔΕΚΑΝΗΣΩΝ
46,81620000,ΔΩΔΕΚΑΝΗΣΩΝ
47,99610000,ΑΤΤΙΚΗΣ
48,99620000,ΑΤΤΙΚΗΣ
49,99630000,ΑΤΤΙΚΗΣ
50,23010000,ΚΕΦΑΛΛΟΝΙΑΣ
51,23020000,ΚΕΦΑΛΛΟΝΙΑΣ
52,23030000,ΚΕΦΑΛΛΟΝΙΑΣ
53,23040000,ΚΕΦΑΛΛΟΝΙΑΣ
54,99110000,ΑΤΤΙΚΗΣ
55,23050000,ΚΕΦΑΛΛΟΝΙΑΣ
56,23060000,ΚΕΦΑΛΛΟΝΙΑΣ
57,23070000,ΚΕΦΑΛΛΟΝΙΑΣ
58,23080000,ΚΕΦΑΛΛΟΝΙΑΣ
59,23610000,ΚΕΦΑΛΛΟΝΙΑΣ
60,71110000,ΕΒΡΟΥ
61,73010000,ΡΟΔΟΠΗΣ
62,73020000,ΡΟΔΟΠΗΣ
63,73030000,ΡΟΔΟΠΗΣ
64,73040000,ΡΟΔΟΠΗΣ
65,73050000,ΡΟΔΟΠΗΣ
66,73080000,ΡΟΔΟΠΗΣ
67,73090000,ΡΟΔΟΠΗΣ
68,73620000,ΡΟΔΟΠΗΣ
69,73630000,ΡΟΔΟΠΗΣ
70,15020000,ΚΟΡΙΝΘΙΑΣ
71,15010000,ΚΟΡΙΝΘΙΑΣ
72,15030000,ΚΟΡΙΝΘΙΑΣ
73,15040000,ΚΟΡΙΝΘΙΑΣ
74,15050000,ΚΟΡΙΝΘΙΑΣ
75,94010000,ΧΑΝΙΩΝ
76,15060000,ΚΟΡΙΝΘΙΑΣ
77,15070000,ΚΟΡΙΝΘΙΑΣ
78,15080000,ΚΟΡΙΝΘΙΑΣ
79,15090000,ΚΟΡΙΝΘΙΑΣ
80,15100000,ΚΟΡΙΝΘΙΑΣ
81,15110000,ΚΟΡΙΝΘΙΑΣ
82,15120000,ΚΟΡΙΝΘΙΑΣ
83,15130000,ΚΟΡΙΝΘΙΑΣ
84,15140000,ΚΟΡΙΝΘΙΑΣ
85,94020000,ΧΑΝΙΩΝ
86,94030000,ΧΑΝΙΩΝ
87,99160000,ΑΤΤΙΚΗΣ
88,94040000,ΧΑΝΙΩΝ
89,94060000,ΧΑΝΙΩΝ
90,94050000,ΧΑΝΙΩΝ
91,94080000,ΧΑΝΙΩΝ
92,94090000,ΧΑΝΙΩΝ
93,94100000,ΧΑΝΙΩΝ
94,94110000,ΧΑΝΙΩΝ
95,94120000,ΧΑΝΙΩΝ
96,94130000,ΧΑΝΙΩΝ
97,94140000,ΧΑΝΙΩΝ
98,94150000,ΧΑΝΙΩΝ
99,94170000,ΧΑΝΙΩΝ
100,94160000,ΧΑΝΙΩΝ
101,94180000,ΧΑΝΙΩΝ
102,94190000,ΧΑΝΙΩΝ
103,94210000,ΧΑΝΙΩΝ
104,94220000,ΧΑΝΙΩΝ
105,94200000,ΧΑΝΙΩΝ
106,94230000,ΧΑΝΙΩΝ
107,42640000,ΛΑΡΙΣΑΣ
108,12160000,ΑΡΚΑΔΙΑΣ
109,12170000,ΑΡΚΑΔΙΑΣ
110,12190000,ΑΡΚΑΔΙΑΣ
111,83030000,ΛΕΣΒΟΥ
112,11610000,ΑΡΓΟΛΙΔΟΣ
113,12010000,ΑΡΚΑΔΙΑΣ
114,12030000,ΑΡΚΑΔΙΑΣ
115,12050000,ΑΡΚΑΔΙΑΣ
116,12060000,ΑΡΚΑΔΙΑΣ
117,12070000,ΑΡΚΑΔΙΑΣ
118,12080000,ΑΡΚΑΔΙΑΣ
119,12090000,ΑΡΚΑΔΙΑΣ
120,12110000,ΑΡΚΑΔΙΑΣ
121,12120000,ΑΡΚΑΔΙΑΣ
122,12130000,ΑΡΚΑΔΙΑΣ
123,12150000,ΑΡΚΑΔΙΑΣ
124,12180000,ΑΡΚΑΔΙΑΣ
125,12220000,ΑΡΚΑΔΙΑΣ
126,13120000,ΑΧΑΙΑΣ
127,91120000,ΗΡΑΚΛΕΙΟΥ
128,33610000,ΙΩΑΝΝΙΝΩΝ
129,13150000,ΑΧΑΙΑΣ
130,14050000,ΗΛΕΙΑΣ
131,15150000,ΚΟΡΙΝΘΙΑΣ
132,17140000,ΜΕΣΣΗΝΙΑΣ
133,33180000,ΙΩΑΝΝΙΝΩΝ
134,56010000,ΚΑΣΤΟΡΙΑΣ
135,56020000,ΚΑΣΤΟΡΙΑΣ
136,56100000,ΚΑΣΤΟΡΙΑΣ
137,56110000,ΚΑΣΤΟΡΙΑΣ
138,56030000,ΚΑΣΤΟΡΙΑΣ
139,56120000,ΚΑΣΤΟΡΙΑΣ
140,56040000,ΚΑΣΤΟΡΙΑΣ
141,56050000,ΚΑΣΤΟΡΙΑΣ
142,56060000,ΚΑΣΤΟΡΙΑΣ
143,56070000,ΚΑΣΤΟΡΙΑΣ
144,56080000,ΚΑΣΤΟΡΙΑΣ
145,56090000,ΚΑΣΤΟΡΙΑΣ
146,56620000,ΚΑΣΤΟΡΙΑΣ
147,63610000,ΦΛΩΡΙΝΑΣ
148,56630000,ΚΑΣΤΟΡΙΑΣ
149,58120000,ΚΟΖΑΝΗΣ
150,63020000,ΦΛΩΡΙΝΑΣ
151,63620000,ΦΛΩΡΙΝΑΣ
152,63630000,ΦΛΩΡΙΝΑΣ
153,14130000,ΗΛΕΙΑΣ
154,14070000,ΗΛΕΙΑΣ
155,21010000,ΖΑΚΥΝΘΟΥ
156,21020000,ΖΑΚΥΝΘΟΥ
157,21030000,ΖΑΚΥΝΘΟΥ
158,3070000,ΒΟΙΩΤΙΑΣ
159,3150000,ΒΟΙΩΤΙΑΣ
160,96130000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
161,33140000,ΙΩΑΝΝΙΝΩΝ
162,33150000,ΙΩΑΝΝΙΝΩΝ
163,21040000,ΖΑΚΥΝΘΟΥ
164,21050000,ΖΑΚΥΝΘΟΥ
165,21060000,ΖΑΚΥΝΘΟΥ
166,52010000,ΔΡΑΜΑΣ
167,52020000,ΔΡΑΜΑΣ
168,52030000,ΔΡΑΜΑΣ
169,52040000,ΔΡΑΜΑΣ
170,52050000,ΔΡΑΜΑΣ
171,52060000,ΔΡΑΜΑΣ
172,52070000,ΔΡΑΜΑΣ
173,52080000,ΔΡΑΜΑΣ
174,52610000,ΔΡΑΜΑΣ
175,96030000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
176,94620000,ΧΑΝΙΩΝ
177,82010000,ΚΥΚΛΑΔΩΝ
178,96620000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
179,62020000,ΣΕΡΡΩΝ
180,82020000,ΚΥΚΛΑΔΩΝ
181,97020000,ΑΤΤΙΚΗΣ
182,62100000,ΣΕΡΡΩΝ
183,61030000,ΠΙΕΡΙΑΣ
184,61040000,ΠΙΕΡΙΑΣ
185,61050000,ΠΙΕΡΙΑΣ
186,61060000,ΠΙΕΡΙΑΣ
187,61070000,ΠΙΕΡΙΑΣ
188,61080000,ΠΙΕΡΙΑΣ
189,61090000,ΠΙΕΡΙΑΣ
190,61100000,ΠΙΕΡΙΑΣ
191,61110000,ΠΙΕΡΙΑΣ
192,61120000,ΠΙΕΡΙΑΣ
193,61130000,ΠΙΕΡΙΑΣ
194,62150000,ΣΕΡΡΩΝ
195,62160000,ΣΕΡΡΩΝ
196,97040000,ΑΤΤΙΚΗΣ
197,97050000,ΑΤΤΙΚΗΣ
198,6620000,ΦΘΙΩΤΙΔΑΣ
199,97070000,ΑΤΤΙΚΗΣ
200,97100000,ΑΤΤΙΚΗΣ
201,97080000,ΑΤΤΙΚΗΣ
202,5100000,ΕΥΡΥΤΑΝΙΑΣ
203,5110000,ΕΥΡΥΤΑΝΙΑΣ
204,6020000,ΦΘΙΩΤΙΔΑΣ
205,6140000,ΦΘΙΩΤΙΔΑΣ
206,6200000,ΦΘΙΩΤΙΔΑΣ
207,41160000,ΚΑΡΔΙΤΣΑΣ
208,97610000,ΑΤΤΙΚΗΣ
209,96040000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
210,3040000,ΒΟΙΩΤΙΑΣ
211,6040000,ΦΘΙΩΤΙΔΑΣ
212,97090000,ΑΤΤΙΚΗΣ
213,97620000,ΑΤΤΙΚΗΣ
214,82030000,ΚΥΚΛΑΔΩΝ
215,82040000,ΚΥΚΛΑΔΩΝ
216,31630000,ΑΡΤΑΣ
217,33010000,ΙΩΑΝΝΙΝΩΝ
218,33020000,ΙΩΑΝΝΙΝΩΝ
219,33030000,ΙΩΑΝΝΙΝΩΝ
220,33040000,ΙΩΑΝΝΙΝΩΝ
221,96050000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
222,33050000,ΙΩΑΝΝΙΝΩΝ
223,33060000,ΙΩΑΝΝΙΝΩΝ
224,33080000,ΙΩΑΝΝΙΝΩΝ
225,33090000,ΙΩΑΝΝΙΝΩΝ
226,33100000,ΙΩΑΝΝΙΝΩΝ
227,33110000,ΙΩΑΝΝΙΝΩΝ
228,33120000,ΙΩΑΝΝΙΝΩΝ
229,33130000,ΙΩΑΝΝΙΝΩΝ
230,33620000,ΙΩΑΝΝΙΝΩΝ
231,33630000,ΙΩΑΝΝΙΝΩΝ
232,98660000,ΑΤΤΙΚΗΣ
233,33650000,ΙΩΑΝΝΙΝΩΝ
234,98680000,ΑΤΤΙΚΗΣ
235,33660000,ΙΩΑΝΝΙΝΩΝ
236,33670000,ΙΩΑΝΝΙΝΩΝ
237,99130000,ΑΤΤΙΚΗΣ
238,33690000,ΙΩΑΝΝΙΝΩΝ
239,96060000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
240,96070000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
241,33700000,ΙΩΑΝΝΙΝΩΝ
242,33720000,ΙΩΑΝΝΙΝΩΝ
243,44610000,ΤΡΙΚΑΛΩΝ
244,57040000,ΚΙΛΚΙΣ
245,33710000,ΙΩΑΝΝΙΝΩΝ
246,42230000,ΛΑΡΙΣΑΣ
247,42250000,ΛΑΡΙΣΑΣ
248,42270000,ΛΑΡΙΣΑΣ
249,96100000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
250,57610000,ΚΙΛΚΙΣ
251,58060000,ΚΟΖΑΝΗΣ
252,59010000,ΠΕΛΛΑΣ
253,59020000,ΠΕΛΛΑΣ
254,59030000,ΠΕΛΛΑΣ
255,59050000,ΠΕΛΛΑΣ
256,59070000,ΠΕΛΛΑΣ
257,59080000,ΠΕΛΛΑΣ
258,59090000,ΠΕΛΛΑΣ
259,59110000,ΠΕΛΛΑΣ
260,96110000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
261,63080000,ΦΛΩΡΙΝΑΣ
262,1090000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
263,1220000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
264,1240000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
265,1250000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
266,5010000,ΕΥΡΥΤΑΝΙΑΣ
267,5020000,ΕΥΡΥΤΑΝΙΑΣ
268,5030000,ΕΥΡΥΤΑΝΙΑΣ
269,99340000,ΑΤΤΙΚΗΣ
270,5040000,ΕΥΡΥΤΑΝΙΑΣ
271,7040000,ΦΩΚΙΔΟΣ
272,7050000,ΦΩΚΙΔΟΣ
273,99170000,ΑΤΤΙΚΗΣ
274,82200000,ΚΥΚΛΑΔΩΝ
275,82620000,ΚΥΚΛΑΔΩΝ
276,7060000,ΦΩΚΙΔΟΣ
277,7080000,ΦΩΚΙΔΟΣ
278,7100000,ΦΩΚΙΔΟΣ
279,99210000,ΑΤΤΙΚΗΣ
280,99220000,ΑΤΤΙΚΗΣ
281,7110000,ΦΩΚΙΔΟΣ
282,7120000,ΦΩΚΙΔΟΣ
283,99200000,ΑΤΤΙΚΗΣ
284,13020000,ΑΧΑΙΑΣ
285,99260000,ΑΤΤΙΚΗΣ
286,13040000,ΑΧΑΙΑΣ
287,1020000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
288,1030000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
289,1040000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
290,1110000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
291,99290000,ΑΤΤΙΚΗΣ
292,99300000,ΑΤΤΙΚΗΣ
293,1130000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
294,99310000,ΑΤΤΙΚΗΣ
295,1160000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
296,99350000,ΑΤΤΙΚΗΣ
297,1200000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
298,1210000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
299,99360000,ΑΤΤΙΚΗΣ
300,99370000,ΑΤΤΙΚΗΣ
301,1230000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
302,1270000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
303,99390000,ΑΤΤΙΚΗΣ
304,1280000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
305,99400000,ΑΤΤΙΚΗΣ
306,99410000,ΑΤΤΙΚΗΣ
307,99450000,ΑΤΤΙΚΗΣ
308,4090000,ΕΥΒΟΙΑΣ
309,4130000,ΕΥΒΟΙΑΣ
310,4180000,ΕΥΒΟΙΑΣ
311,4230000,ΕΥΒΟΙΑΣ
312,1290000,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
313,13110000,ΑΧΑΙΑΣ
314,42010000,ΛΑΡΙΣΑΣ
315,42030000,ΛΑΡΙΣΑΣ
316,42060000,ΛΑΡΙΣΑΣ
317,42070000,ΛΑΡΙΣΑΣ
318,42080000,ΛΑΡΙΣΑΣ
319,42100000,ΛΑΡΙΣΑΣ
320,42110000,ΛΑΡΙΣΑΣ
321,42120000,ΛΑΡΙΣΑΣ
322,42130000,ΛΑΡΙΣΑΣ
323,42140000,ΛΑΡΙΣΑΣ
324,42150000,ΛΑΡΙΣΑΣ
325,42170000,ΛΑΡΙΣΑΣ
326,42200000,ΛΑΡΙΣΑΣ
327,42210000,ΛΑΡΙΣΑΣ
328,42610000,ΛΑΡΙΣΑΣ
329,44220000,ΤΡΙΚΑΛΩΝ
330,12140000,ΑΡΚΑΔΙΑΣ
331,98650000,ΑΤΤΙΚΗΣ
332,12610000,ΑΡΚΑΔΙΑΣ
333,82610000,ΚΥΚΛΑΔΩΝ
334,16010000,ΛΑΚΩΝΙΑΣ
335,16020000,ΛΑΚΩΝΙΑΣ
336,16030000,ΛΑΚΩΝΙΑΣ
337,16040000,ΛΑΚΩΝΙΑΣ
338,16050000,ΛΑΚΩΝΙΑΣ
339,16060000,ΛΑΚΩΝΙΑΣ
340,16070000,ΛΑΚΩΝΙΑΣ
341,16080000,ΛΑΚΩΝΙΑΣ
342,16090000,ΛΑΚΩΝΙΑΣ
343,16100000,ΛΑΚΩΝΙΑΣ
344,16110000,ΛΑΚΩΝΙΑΣ
345,16120000,ΛΑΚΩΝΙΑΣ
346,16130000,ΛΑΚΩΝΙΑΣ
347,16140000,ΛΑΚΩΝΙΑΣ
348,16150000,ΛΑΚΩΝΙΑΣ
349,16160000,ΛΑΚΩΝΙΑΣ
350,16170000,ΛΑΚΩΝΙΑΣ
351,16180000,ΛΑΚΩΝΙΑΣ
352,16190000,ΛΑΚΩΝΙΑΣ
353,16200000,ΛΑΚΩΝΙΑΣ
354,16610000,ΛΑΚΩΝΙΑΣ
355,16620000,ΛΑΚΩΝΙΑΣ
356,17190000,ΜΕΣΣΗΝΙΑΣ
357,96080000,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ
358,82070000,ΚΥΚΛΑΔΩΝ
359,91010000,ΗΡΑΚΛΕΙΟΥ
360,91040000,ΗΡΑΚΛΕΙΟΥ
361,91020000,ΗΡΑΚΛΕΙΟΥ
362,91030000,ΗΡΑΚΛΕΙΟΥ
363,91050000,ΗΡΑΚΛΕΙΟΥ
364,91070000,ΗΡΑΚΛΕΙΟΥ
365,91080000,ΗΡΑΚΛΕΙΟΥ
366,91090000,ΗΡΑΚΛΕΙΟΥ
367,91100000,ΗΡΑΚΛΕΙΟΥ
368,91160000,ΗΡΑΚΛΕΙΟΥ
369,91180000,ΗΡΑΚΛΕΙΟΥ
370,91110000,ΗΡΑΚΛΕΙΟΥ
371,91130000,ΗΡΑΚΛΕΙΟΥ
372,91140000,ΗΡΑΚΛΕΙΟΥ
373,91190000,ΗΡΑΚΛΕΙΟΥ
374,91150000,ΗΡΑΚΛΕΙΟΥ
375,71010000,ΕΒΡΟΥ
376,71020000,ΕΒΡΟΥ
377,71030000,ΕΒΡΟΥ
378,91200000,ΗΡΑΚΛΕΙΟΥ
379,98140000,ΑΤΤΙΚΗΣ
380,71040000,ΕΒΡΟΥ
381,71050000,ΕΒΡΟΥ
382,91210000,ΗΡΑΚΛΕΙΟΥ
383,91220000,ΗΡΑΚΛΕΙΟΥ
384,71080000,ΕΒΡΟΥ
385,71090000,ΕΒΡΟΥ
386,71100000,ΕΒΡΟΥ
387,71120000,ΕΒΡΟΥ
388,71130000,ΕΒΡΟΥ
389,81070000,ΔΩΔΕΚΑΝΗΣΩΝ
390,84020000,ΣΑΜΟΥ
391,98170000,ΑΤΤΙΚΗΣ
392,84030000,ΣΑΜΟΥ
393,54170000,ΘΕΣΣΑΛΟΝΙΚΗΣ
394,84040000,ΣΑΜΟΥ
395,54180000,ΘΕΣΣΑΛΟΝΙΚΗΣ
